epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.695,2.81095,5.08841,1.71221,0.14068,0.1524,0.06176,0.01883,2.45436,3.4746,1.4809,0.000369642,0.000369642,0.000369642
2,204.939,2.56343,4.16461,1.53015,0.2932,0.22857,0.14213,0.05534,2.3208,2.94222,1.45458,0.000721661,0.000721661,0.000721661
3,293.174,2.52768,3.6763,1.53269,0.47175,0.18312,0.2221,0.09825,2.25466,2.61431,1.43569,0.00105535,0.00105535,0.00105535
4,380.444,2.46511,3.49575,1.506,0.49224,0.2441,0.20794,0.08701,2.27475,2.71048,1.49919,0.00102851,0.00102851,0.00102851
5,470.478,2.43808,3.25302,1.4918,0.43483,0.20605,0.21419,0.08807,2.2642,2.69862,1.49728,0.00100101,0.00100101,0.00100101
6,562.374,2.35885,3.16153,1.47826,0.28415,0.30923,0.22198,0.08975,2.21358,2.50292,1.42812,0.000973514,0.000973514,0.000973514
7,648.23,2.36362,2.96953,1.44311,0.31147,0.26361,0.25922,0.11263,2.15655,2.57336,1.39592,0.000946016,0.000946016,0.000946016
8,733.288,2.35152,2.9425,1.4598,0.27575,0.32336,0.24701,0.10057,2.18768,2.40336,1.41949,0.000918519,0.000918519,0.000918519
9,818.939,2.37813,2.92146,1.4599,0.27962,0.31985,0.20848,0.07667,2.22281,2.41012,1.45357,0.000891022,0.000891022,0.000891022
10,912.931,2.35109,2.79738,1.45876,0.2828,0.35507,0.27073,0.1083,2.15496,2.32786,1.42584,0.000863525,0.000863525,0.000863525
11,1008.5,2.32374,2.73897,1.43477,0.29879,0.27958,0.27881,0.12217,2.15578,2.38521,1.4008,0.000836027,0.000836027,0.000836027
12,1101.89,2.30837,2.72484,1.43013,0.33884,0.35724,0.309,0.13435,2.17428,2.29189,1.40627,0.00080853,0.00080853,0.00080853
13,1205.03,2.30529,2.66984,1.43366,0.30312,0.36134,0.2998,0.1289,2.12747,2.24712,1.39548,0.000781033,0.000781033,0.000781033
14,1304.54,2.25336,2.60602,1.42248,0.34761,0.35836,0.29966,0.12134,2.14731,2.42017,1.41525,0.000753536,0.000753536,0.000753536
15,1392.12,2.28454,2.54827,1.41959,0.27438,0.40435,0.32597,0.13777,2.15228,2.40876,1.41123,0.000726038,0.000726038,0.000726038
16,1486.14,2.28088,2.63473,1.4099,0.36141,0.40721,0.34574,0.16035,2.12575,2.22123,1.39363,0.000698541,0.000698541,0.000698541
